From_ID,From,To_ID,To,Year,Count
131,"Gold Coast, port unspecified",85,Charleston,1783,1
212,New Calabar,142,Havana,1783,1
204,Mozambique,142,Havana,1783,1
57,Cabinda,142,Havana,1783,1
63,Calabar,160,Kingston,1783,1
131,"Gold Coast, port unspecified",160,Kingston,1783,1
71,Cape Coast Castle,160,Kingston,1783,2
42,Bonny,160,Kingston,1783,4
332,Whydah,160,Kingston,1783,1
329,"West Central Africa and St. Helena, port unspecified",160,Kingston,1783,2
42,Bonny,200,Montego Bay,1783,2
63,Calabar,200,Montego Bay,1783,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",200,Montego Bay,1783,1
148,Iles de Los,243,Port-au-Prince,1783,1
42,Bonny,243,Port-au-Prince,1783,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1783,1
42,Bonny,307,St. Thomas,1783,1
148,Iles de Los,85,Charleston,1784,1
212,New Calabar,85,Charleston,1784,1
71,Cape Coast Castle,85,Charleston,1784,1
63,Calabar,85,Charleston,1784,1
335,"Windward Coast, port unspecified",85,Charleston,1784,1
126,Gambia,85,Charleston,1784,4
131,"Gold Coast, port unspecified",85,Charleston,1784,3
186,Malembo,85,Charleston,1784,1
334,Windward Coast (Nunez - Assini),85,Charleston,1784,1
87,Congo North,85,Charleston,1784,2
113,Elmina,104,Demerara,1784,1
329,"West Central Africa and St. Helena, port unspecified",142,Havana,1784,1
42,Bonny,160,Kingston,1784,10
131,"Gold Coast, port unspecified",160,Kingston,1784,4
63,Calabar,160,Kingston,1784,3
212,New Calabar,160,Kingston,1784,2
332,Whydah,160,Kingston,1784,3
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",160,Kingston,1784,3
71,Cape Coast Castle,160,Kingston,1784,2
329,"West Central Africa and St. Helena, port unspecified",160,Kingston,1784,1
20,Banana Islands,160,Kingston,1784,1
71,Cape Coast Castle,200,Montego Bay,1784,1
175,Loango,213,New Orleans,1784,1
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1784,4
186,Malembo,243,Port-au-Prince,1784,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1784,7
332,Whydah,243,Port-au-Prince,1784,3
63,Calabar,243,Port-au-Prince,1784,1
175,Loango,243,Port-au-Prince,1784,1
148,Iles de Los,243,Port-au-Prince,1784,1
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1784,1
87,Congo North,284,Savannah,1784,1
87,Congo North,302,St. Eustatius,1784,1
42,Bonny,307,St. Thomas,1784,1
329,"West Central Africa and St. Helena, port unspecified",11,Antonia,1785,1
71,Cape Coast Castle,11,Antonia,1785,1
126,Gambia,27,Beaufort,1785,2
63,Calabar,84,Cayes (Les),1785,1
42,Bonny,84,Cayes (Les),1785,1
126,Gambia,85,Charleston,1785,5
71,Cape Coast Castle,85,Charleston,1785,2
148,Iles de Los,85,Charleston,1785,1
131,"Gold Coast, port unspecified",85,Charleston,1785,4
87,Congo North,85,Charleston,1785,1
113,Elmina,104,Demerara,1785,4
131,"Gold Coast, port unspecified",111,"Dutch Guianas, colony unspecified",1785,1
42,Bonny,142,Havana,1785,2
25,Bassa,160,Kingston,1785,1
131,"Gold Coast, port unspecified",160,Kingston,1785,3
63,Calabar,160,Kingston,1785,3
71,Cape Coast Castle,160,Kingston,1785,6
212,New Calabar,160,Kingston,1785,1
42,Bonny,160,Kingston,1785,8
334,Windward Coast (Nunez - Assini),160,Kingston,1785,2
30,Benin,243,Port-au-Prince,1785,1
186,Malembo,243,Port-au-Prince,1785,2
124,Gabon,243,Port-au-Prince,1785,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1785,8
204,Mozambique,243,Port-au-Prince,1785,1
33,"Bight of Benin, port unspecified",243,Port-au-Prince,1785,2
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1785,5
13,Ardra,243,Port-au-Prince,1785,1
63,Calabar,243,Port-au-Prince,1785,1
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1785,1
332,Whydah,274,Saint-Marc,1785,1
245,Porto Novo,274,Saint-Marc,1785,1
175,Loango,274,Saint-Marc,1785,1
33,"Bight of Benin, port unspecified",274,Saint-Marc,1785,1
71,Cape Coast Castle,283,Savanna la Mar,1785,1
42,Bonny,307,St. Thomas,1785,1
42,Bonny,52,"British Caribbean, colony unspecified",1786,1
42,Bonny,76,Caracas,1786,1
148,Iles de Los,84,Cayes (Les),1786,1
131,"Gold Coast, port unspecified",85,Charleston,1786,3
126,Gambia,85,Charleston,1786,1
64,Cameroons,142,Havana,1786,1
148,Iles de Los,142,Havana,1786,1
63,Calabar,142,Havana,1786,1
167,"Lagos, Onim",142,Havana,1786,1
42,Bonny,142,Havana,1786,3
71,Cape Coast Castle,160,Kingston,1786,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",160,Kingston,1786,1
131,"Gold Coast, port unspecified",160,Kingston,1786,2
126,Gambia,160,Kingston,1786,1
63,Calabar,160,Kingston,1786,1
42,Bonny,160,Kingston,1786,1
334,Windward Coast (Nunez - Assini),160,Kingston,1786,1
33,"Bight of Benin, port unspecified",160,Kingston,1786,1
124,Gabon,160,Kingston,1786,1
167,"Lagos, Onim",160,Kingston,1786,1
212,New Calabar,200,Montego Bay,1786,1
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1786,1
186,Malembo,243,Port-au-Prince,1786,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1786,9
148,Iles de Los,243,Port-au-Prince,1786,2
245,Porto Novo,243,Port-au-Prince,1786,2
42,Bonny,243,Port-au-Prince,1786,2
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1786,1
245,Porto Novo,274,Saint-Marc,1786,1
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1786,1
131,"Gold Coast, port unspecified",301,St. Croix,1786,1
245,Porto Novo,84,Cayes (Les),1787,1
63,Calabar,84,Cayes (Les),1787,2
30,Benin,84,Cayes (Les),1787,1
130,"Gold Coast, Fr. definition",84,Cayes (Les),1787,2
148,Iles de Los,84,Cayes (Les),1787,1
113,Elmina,84,Cayes (Les),1787,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",84,Cayes (Les),1787,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1787,1
113,Elmina,104,Demerara,1787,1
42,Bonny,142,Havana,1787,1
64,Cameroons,142,Havana,1787,1
329,"West Central Africa and St. Helena, port unspecified",155,Jacmel,1787,3
70,Cap Lopez,155,Jacmel,1787,1
42,Bonny,160,Kingston,1787,3
63,Calabar,160,Kingston,1787,1
131,"Gold Coast, port unspecified",160,Kingston,1787,3
332,Whydah,160,Kingston,1787,1
33,"Bight of Benin, port unspecified",160,Kingston,1787,2
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",160,Kingston,1787,1
124,Gabon,243,Port-au-Prince,1787,1
3,Ambriz,243,Port-au-Prince,1787,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1787,3
245,Porto Novo,243,Port-au-Prince,1787,5
57,Cabinda,243,Port-au-Prince,1787,1
332,Whydah,243,Port-au-Prince,1787,2
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",243,Port-au-Prince,1787,1
186,Malembo,243,Port-au-Prince,1787,2
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1787,2
167,"Lagos, Onim",243,Port-au-Prince,1787,2
130,"Gold Coast, Fr. definition",274,Saint-Marc,1787,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",274,Saint-Marc,1787,1
42,Bonny,274,Saint-Marc,1787,1
245,Porto Novo,274,Saint-Marc,1787,3
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1787,1
167,"Lagos, Onim",274,Saint-Marc,1787,1
335,"Windward Coast, port unspecified",40,Black River,1788,1
30,Benin,52,"British Caribbean, colony unspecified",1788,1
212,New Calabar,52,"British Caribbean, colony unspecified",1788,1
42,Bonny,54,Buenos Aires,1788,2
42,Bonny,80,Cartagena,1788,1
286,"Senegambia and offshore Atlantic, port unspecified",83,Cayenne,1788,1
63,Calabar,84,Cayes (Les),1788,3
130,"Gold Coast, Fr. definition",84,Cayes (Les),1788,1
332,Whydah,84,Cayes (Les),1788,1
148,Iles de Los,84,Cayes (Les),1788,1
186,Malembo,84,Cayes (Les),1788,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",84,Cayes (Les),1788,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1788,4
204,Mozambique,84,Cayes (Les),1788,1
70,Cap Lopez,84,Cayes (Les),1788,1
57,Cabinda,84,Cayes (Les),1788,1
113,Elmina,104,Demerara,1788,1
30,Benin,142,Havana,1788,1
42,Bonny,142,Havana,1788,1
329,"West Central Africa and St. Helena, port unspecified",155,Jacmel,1788,1
63,Calabar,160,Kingston,1788,1
332,Whydah,160,Kingston,1788,1
71,Cape Coast Castle,160,Kingston,1788,1
126,Gambia,160,Kingston,1788,2
33,"Bight of Benin, port unspecified",160,Kingston,1788,1
212,New Calabar,160,Kingston,1788,2
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",200,Montego Bay,1788,1
42,Bonny,200,Montego Bay,1788,2
131,"Gold Coast, port unspecified",200,Montego Bay,1788,2
63,Calabar,200,Montego Bay,1788,1
42,Bonny,201,Montevideo,1788,3
245,Porto Novo,243,Port-au-Prince,1788,4
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1788,6
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1788,1
57,Cabinda,243,Port-au-Prince,1788,2
33,"Bight of Benin, port unspecified",243,Port-au-Prince,1788,1
332,Whydah,243,Port-au-Prince,1788,1
131,"Gold Coast, port unspecified",243,Port-au-Prince,1788,1
186,Malembo,243,Port-au-Prince,1788,4
245,Porto Novo,274,Saint-Marc,1788,1
131,"Gold Coast, port unspecified",274,Saint-Marc,1788,1
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1788,1
33,"Bight of Benin, port unspecified",274,Saint-Marc,1788,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",283,Savanna la Mar,1788,1
131,"Gold Coast, port unspecified",40,Black River,1789,1
124,Gabon,84,Cayes (Les),1789,1
63,Calabar,84,Cayes (Les),1789,5
130,"Gold Coast, Fr. definition",84,Cayes (Les),1789,2
245,Porto Novo,84,Cayes (Les),1789,1
88,Congo River,84,Cayes (Les),1789,1
25,Bassa,84,Cayes (Les),1789,1
148,Iles de Los,84,Cayes (Les),1789,2
286,"Senegambia and offshore Atlantic, port unspecified",84,Cayes (Les),1789,1
332,Whydah,84,Cayes (Les),1789,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",84,Cayes (Les),1789,1
186,Malembo,84,Cayes (Les),1789,1
204,Mozambique,84,Cayes (Les),1789,2
70,Cap Lopez,84,Cayes (Les),1789,1
175,Loango,84,Cayes (Les),1789,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1789,2
163,Kormantine,84,Cayes (Les),1789,1
